Date,Price
2024-12-11,32800.0
2024-12-12,33530.0
2024-12-13,33570.0
2024-12-16,33860.0
2024-12-17,34400.0
2024-12-18,34140.0
2024-12-19,33260.0
2024-12-20,33280.0
2024-12-23,33950.0
2024-12-24,34110.0
2024-12-25,34590.0
2024-12-26,34700.0
2024-12-27,34580.0
2024-12-30,34280.0
2025-01-06,34090.0
2025-01-07,34300.0
2025-01-08,34000.0
2025-01-09,33800.0
2025-01-10,33800.0
2025-01-14,33330.0
2025-01-15,33090.0
2025-01-16,33630.0
2025-01-17,33310.0
2025-01-20,33800.0
2025-01-21,33770.0
2025-01-22,34210.0
2025-01-23,34480.0
2025-01-24,34330.0
2025-01-27,33560.0
2025-01-28,33320.0
2025-01-29,33780.0
2025-01-30,33700.0
2025-01-31,33820.0
2025-02-03,32880.0
2025-02-04,33370.0
2025-02-05,33230.0
2025-02-06,33470.0
2025-02-07,33300.0
2025-02-10,33210.0
2025-02-12,33670.0
2025-02-13,33950.0
2025-02-14,33990.0
2025-02-17,34010.0
2025-02-18,34090.0
2025-02-19,34010.0
2025-02-20,33540.0
2025-02-21,33600.0
2025-02-25,32390.0
2025-02-26,32090.0
2025-02-27,32120.0
2025-02-28,31270.0
2025-03-03,31850.0
2025-03-04,31030.0
2025-03-05,31020.0
2025-03-06,31030.0
2025-03-07,30040.0
2025-03-10,29980.0
2025-03-11,29035.0
2025-03-12,29120.0
2025-03-13,29035.0
2025-03-14,29165.0
2025-03-17,29460.0
2025-03-18,29940.0
2025-03-19,29630.0
2025-03-21,29760.0
2025-03-24,30180.0
2025-03-25,30690.0
2025-03-26,30890.0
2025-03-27,30350.0
2025-03-28,30240.0
2025-03-31,28700.0
2025-04-01,29130.0
2025-04-02,29450.0
2025-04-03,28205.0
2025-04-04,27355.0
2025-04-07,24345.0
2025-04-08,26295.0
2025-04-09,24780.0
2025-04-10,28160.0
2025-04-11,27115.0
2025-04-14,27325.0
2025-04-15,27175.0
2025-04-16,26575.0
2025-04-17,26715.0
2025-04-18,26405.0
2025-04-21,25805.0
2025-04-22,25420.0
2025-04-23,26755.0
2025-04-24,26970.0
2025-04-25,28105.0
2025-04-28,28160.0
2025-04-30,28085.0
2025-05-01,28970.0
2025-05-02,29105.0
2025-05-07,28750.0
2025-05-08,29290.0
2025-05-09,29575.0
2025-05-12,30270.0
2025-05-13,31090.0
2025-05-14,31600.0
2025-05-15,31390.0
2025-05-16,31300.0
2025-05-19,31070.0
2025-05-20,31190.0
2025-05-21,30870.0
2025-05-22,30580.0
2025-05-23,30590.0
2025-05-26,30620.0
2025-05-27,30690.0
2025-05-28,31270.0
2025-05-29,32060.0
2025-05-30,31060.0
2025-06-02,30700.0
2025-06-03,30960.0
2025-06-04,31550.0
2025-06-05,31480.0
2025-06-06,31550.0
2025-06-09,31720.0
2025-06-10,31920.0
2025-06-11,32150.0
2025-06-12,31740.0
2025-06-13,31360.0
2025-06-16,31730.0
2025-06-17,32060.0
2025-06-18,31970.0
2025-06-19,31790.0
2025-06-20,31970.0
2025-06-23,32220.0
2025-06-24,32540.0
2025-06-25,32640.0
2025-06-26,32640.0
2025-06-27,32900.0
2025-06-30,33050.0
2025-07-01,32900.0
2025-07-02,32850.0
2025-07-03,33020.0
2025-07-04,33270.0
2025-07-07,33380.0
2025-07-08,33650.0
2025-07-09,33740.0
2025-07-10,33780.0
2025-07-11,33890.0
2025-07-14,33800.0
2025-07-15,34410.0
2025-07-16,34380.0
