Date,Price
2024-12-11,39372.23
2024-12-12,39849.14
2024-12-13,39470.44
2024-12-16,39457.49
2024-12-17,39364.68
2024-12-18,39081.71
2024-12-19,38813.58
2024-12-20,38701.9
2024-12-23,39161.34
2024-12-24,39036.85
2024-12-25,39130.43
2024-12-26,39568.06
2024-12-27,40281.16
2024-12-30,39894.54
2025-01-06,39307.05
2025-01-07,40083.3
2025-01-08,39981.06
2025-01-09,39605.09
2025-01-10,39190.4
2025-01-14,38474.3
2025-01-15,38444.58
2025-01-16,38572.6
2025-01-17,38451.46
2025-01-20,38902.5
2025-01-21,39027.98
2025-01-22,39646.25
2025-01-23,39958.87
2025-01-24,39931.98
2025-01-27,39565.8
2025-01-28,39016.87
2025-01-29,39414.78
2025-01-30,39513.97
2025-01-31,39572.49
2025-02-03,38520.09
2025-02-04,38798.37
2025-02-05,38831.48
2025-02-06,39066.53
2025-02-07,38787.02
2025-02-10,38801.17
2025-02-12,38963.7
2025-02-13,39461.47
2025-02-14,39149.43
2025-02-17,39174.25
2025-02-18,39270.4
2025-02-19,39164.61
2025-02-20,38678.04
2025-02-21,38776.94
2025-02-25,38237.79
2025-02-26,38142.37
2025-02-27,38256.17
2025-02-28,37155.5
2025-03-03,37785.47
2025-03-04,37331.18
2025-03-05,37418.24
2025-03-06,37704.93
2025-03-07,36887.17
2025-03-10,37028.27
2025-03-11,36793.11
2025-03-12,36819.09
2025-03-13,36790.03
2025-03-14,37053.1
2025-03-17,37396.52
2025-03-18,37845.42
2025-03-19,37751.88
2025-03-21,37677.06
2025-03-24,37608.49
2025-03-25,37780.54
2025-03-26,38027.29
2025-03-27,37799.97
2025-03-28,37120.33
2025-03-31,35617.56
2025-04-01,35624.48
2025-04-02,35725.87
2025-04-03,34735.93
2025-04-04,33780.58
2025-04-07,31136.58
2025-04-08,33012.58
2025-04-09,31714.03
2025-04-10,34609.0
2025-04-11,33585.58
2025-04-14,33982.36
2025-04-15,34267.54
2025-04-16,33920.4
2025-04-17,34377.6
2025-04-18,34730.28
2025-04-21,34279.92
2025-04-22,34220.6
2025-04-23,34868.63
2025-04-24,35039.15
2025-04-25,35705.74
2025-04-28,35839.99
2025-04-30,36045.38
2025-05-01,36452.3
2025-05-02,36830.69
2025-05-07,36779.66
2025-05-08,36928.63
2025-05-09,37503.33
2025-05-12,37644.26
2025-05-13,38183.26
2025-05-14,38128.13
2025-05-15,37755.51
2025-05-16,37753.72
2025-05-19,37498.63
2025-05-20,37529.49
2025-05-21,37298.98
2025-05-22,36985.87
2025-05-23,37160.47
2025-05-26,37531.53
2025-05-27,37724.11
2025-05-28,37722.4
2025-05-29,38432.98
2025-05-30,37965.1
2025-06-02,37470.67
2025-06-03,37446.81
2025-06-04,37747.45
2025-06-05,37554.49
2025-06-06,37741.61
2025-06-09,38088.57
2025-06-10,38211.51
2025-06-11,38421.19
2025-06-12,38173.09
2025-06-13,37834.25
2025-06-16,38311.33
2025-06-17,38536.74
2025-06-18,38885.15
2025-06-19,38488.34
2025-06-20,38403.23
2025-06-23,38354.09
2025-06-24,38790.56
2025-06-25,38942.07
2025-06-26,39584.58
2025-06-27,40150.79
2025-06-30,40487.39
2025-07-01,39986.33
2025-07-02,39762.48
2025-07-03,39785.9
2025-07-04,39810.88
2025-07-07,39587.68
2025-07-08,39688.81
2025-07-09,39821.28
2025-07-10,39646.36
2025-07-11,39569.68
2025-07-14,39459.62
2025-07-15,39678.02
2025-07-16,39663.4
2025-07-17,39901.19
2025-07-18,39819.11
