Date,Adj Close,Close,High,Low,Open,Volume
2008-03-19,9070.4951171875,11254.0,11254.0,11254.0,11254.0,0.0
2008-03-21,9227.9033203125,11449.2998046875,11449.2998046875,11449.2998046875,11449.2998046875,0.0
2008-03-24,9265.6220703125,11496.099609375,11496.099609375,11496.099609375,11496.099609375,0.0
2008-03-25,9316.3994140625,11559.099609375,11559.099609375,11559.099609375,11559.099609375,0.0
2008-03-26,9449.2255859375,11723.900390625,11723.900390625,11723.900390625,11723.900390625,0.0
2008-03-27,9361.935546875,11615.599609375,11615.599609375,11615.599609375,11615.599609375,0.0
2008-03-28,9485.736328125,11769.2001953125,11769.2001953125,11769.2001953125,11769.2001953125,0.0
2008-03-31,9282.38671875,11516.900390625,11516.900390625,11516.900390625,11516.900390625,0.0
2008-04-01,9351.703125,11602.900390625,11602.900390625,11602.900390625,11602.900390625,0.0
2008-04-02,9591.72265625,11900.7001953125,11900.7001953125,11900.7001953125,11900.7001953125,0.0
2008-04-03,9727.5322265625,12069.2001953125,12069.2001953125,12069.2001953125,12069.2001953125,0.0
2008-04-04,9715.923828125,12054.7998046875,12054.7998046875,12054.7998046875,12054.7998046875,0.0
2008-04-07,9901.7841796875,12285.400390625,12285.400390625,12285.400390625,12285.400390625,0.0
2008-04-08,9788.5419921875,12144.900390625,12144.900390625,12144.900390625,12144.900390625,0.0
2008-04-09,9693.7578125,12027.2998046875,12027.2998046875,12027.2998046875,12027.2998046875,0.0
2008-04-10,9644.91796875,11966.7001953125,11966.7001953125,11966.7001953125,11966.7001953125,0.0
2008-04-11,9820.7822265625,12184.900390625,12184.900390625,12184.900390625,12184.900390625,0.0
2008-04-14,9583.26171875,11890.2001953125,11890.2001953125,11890.2001953125,11890.2001953125,0.0
2008-04-15,9545.0556640625,11842.7998046875,11842.7998046875,11842.7998046875,11842.7998046875,0.0
2008-04-16,9556.9052734375,11857.5,11857.5,11857.5,11857.5,0.0
2008-04-17,9596.2353515625,11906.2998046875,11906.2998046875,11906.2998046875,11906.2998046875,0.0
2008-04-18,9711.4912109375,12049.2998046875,12049.2998046875,12049.2998046875,12049.2998046875,0.0
2008-04-21,9866.9638671875,12242.2001953125,12242.2001953125,12242.2001953125,12242.2001953125,0.0
2008-04-22,9809.337890625,12170.7001953125,12170.7001953125,12170.7001953125,12170.7001953125,0.0
2008-04-23,9844.3984375,12214.2001953125,12214.2001953125,12214.2001953125,12214.2001953125,0.0
2008-04-24,9792.2509765625,12149.5,12149.5,12149.5,12149.5,0.0
2008-04-25,9826.748046875,12192.2998046875,12192.2998046875,12192.2998046875,12192.2998046875,0.0
2008-04-28,9742.6826171875,12088.0,12088.0,12088.0,12088.0,0.0
2008-04-30,9720.9208984375,12061.0,12061.0,12061.0,12061.0,0.0
2008-05-01,9689.890625,12022.5,12022.5,12022.5,12022.5,0.0
2008-05-02,9819.0908203125,12182.7998046875,12182.7998046875,12182.7998046875,12182.7998046875,0.0
2008-05-07,9863.015625,12237.2998046875,12237.2998046875,12237.2998046875,12237.2998046875,0.0
2008-05-08,9720.197265625,12060.099609375,12060.099609375,12060.099609375,12060.099609375,0.0
2008-05-09,9617.03125,11932.099609375,11932.099609375,11932.099609375,11932.099609375,0.0
2008-05-12,9643.466796875,11964.900390625,11964.900390625,11964.900390625,11964.900390625,0.0
2008-05-13,9787.0927734375,12143.099609375,12143.099609375,12143.099609375,12143.099609375,0.0
2008-05-14,10024.3740234375,12437.5,12437.5,12437.5,12437.5,0.0
2008-05-15,10078.53515625,12504.7001953125,12504.7001953125,12504.7001953125,12504.7001953125,0.0
2008-05-16,10081.4365234375,12508.2998046875,12508.2998046875,12508.2998046875,12508.2998046875,0.0
2008-05-19,10088.20703125,12516.7001953125,12516.7001953125,12516.7001953125,12516.7001953125,0.0
2008-05-20,10012.4443359375,12422.7001953125,12422.7001953125,12422.7001953125,12422.7001953125,0.0
2008-05-21,9913.0673828125,12299.400390625,12299.400390625,12299.400390625,12299.400390625,0.0
2008-05-22,9960.9423828125,12358.7998046875,12358.7998046875,12358.7998046875,12358.7998046875,0.0
2008-05-23,9982.541015625,12385.599609375,12385.599609375,12385.599609375,12385.599609375,0.0
2008-05-26,9900.251953125,12283.5,12283.5,12283.5,12283.5,0.0
2008-05-27,9978.4306640625,12380.5,12380.5,12380.5,12380.5,0.0
2008-05-28,9862.8544921875,12237.099609375,12237.099609375,12237.099609375,12237.099609375,0.0
2008-05-29,10017.19921875,12428.599609375,12428.599609375,12428.599609375,12428.599609375,0.0
2008-05-30,10115.205078125,12550.2001953125,12550.2001953125,12550.2001953125,12550.2001953125,0.0
2008-06-02,10060.318359375,12482.099609375,12482.099609375,12482.099609375,12482.099609375,0.0
2008-06-03,9957.154296875,12354.099609375,12354.099609375,12354.099609375,12354.099609375,0.0
2008-06-04,10004.705078125,12413.099609375,12413.099609375,12413.099609375,12413.099609375,0.0
2008-06-05,10000.8369140625,12408.2998046875,12408.2998046875,12408.2998046875,12408.2998046875,0.0
2008-06-06,10036.623046875,12452.7001953125,12452.7001953125,12452.7001953125,12452.7001953125,0.0
2008-06-09,9896.3828125,12278.7001953125,12278.7001953125,12278.7001953125,12278.7001953125,0.0
2008-06-10,9784.353515625,12139.7001953125,12139.7001953125,12139.7001953125,12139.7001953125,0.0
2008-06-11,9806.6796875,12167.400390625,12167.400390625,12167.400390625,12167.400390625,0.0
2008-06-12,9757.1103515625,12105.900390625,12105.900390625,12105.900390625,12105.900390625,0.0
2008-06-13,9723.09765625,12063.7001953125,12063.7001953125,12063.7001953125,12063.7001953125,0.0
2008-06-16,9903.9580078125,12288.099609375,12288.099609375,12288.099609375,12288.099609375,0.0
2008-06-17,9981.0107421875,12383.7001953125,12383.7001953125,12383.7001953125,12383.7001953125,0.0
2008-06-18,10029.2080078125,12443.5,12443.5,12443.5,12443.5,0.0
2008-06-19,9878.25,12256.2001953125,12256.2001953125,12256.2001953125,12256.2001953125,0.0
2008-06-20,9757.029296875,12105.7998046875,12105.7998046875,12105.7998046875,12105.7998046875,0.0
2008-06-23,9761.9462890625,12111.900390625,12111.900390625,12111.900390625,12111.900390625,0.0
2008-06-24,9794.267578125,12152.0,12152.0,12152.0,12152.0,0.0
2008-06-25,9871.076171875,12247.2998046875,12247.2998046875,12247.2998046875,12247.2998046875,0.0
2008-06-26,9941.1953125,12334.2998046875,12334.2998046875,12334.2998046875,12334.2998046875,0.0
2008-06-27,9819.0908203125,12182.7998046875,12182.7998046875,12182.7998046875,12182.7998046875,0.0
2008-06-30,9823.361328125,12188.099609375,12188.099609375,12188.099609375,12188.099609375,0.0
2008-07-01,9904.3603515625,12288.599609375,12288.599609375,12288.599609375,12288.599609375,0.0
2008-07-02,9909.921875,12295.5,12295.5,12295.5,12295.5,0.0
2008-07-03,9945.38671875,12339.5,12339.5,12339.5,12339.5,0.0
2008-07-04,9914.4365234375,12301.099609375,12301.099609375,12301.099609375,12301.099609375,0.0
2008-07-07,9938.8583984375,12331.400390625,12331.400390625,12331.400390625,12331.400390625,0.0
2008-07-08,9794.66796875,12152.5,12152.5,12152.5,12152.5,0.0
2008-07-09,9761.7021484375,12111.599609375,12111.599609375,12111.599609375,12111.599609375,0.0
