Date,HYG,IEF,JNK,TLT
2020-12-14,66.33546447753906,105.765869140625,80.24856567382812,135.7746124267578
2020-12-15,66.54203796386719,105.66014099121094,80.53087615966797,135.32005310058594
2020-12-16,66.44257354736328,105.57209777832031,80.42684173583984,134.9598846435547
2020-12-17,66.54165649414062,105.49543762207031,80.56059265136719,134.602783203125
2020-12-18,66.5954818725586,105.40725708007812,80.6217269897461,134.1992645263672
2020-12-21,66.35729217529297,105.47776794433594,80.33082580566406,134.73158264160156
2020-12-22,66.4417953491211,105.6540298461914,80.43525695800781,135.42684936523438
2020-12-23,66.74144744873047,105.43370819091797,80.75593566894531,134.4911346435547
2020-12-24,66.87969970703125,105.58351135253906,80.95735168457031,135.02337646484375
2020-12-28,66.9642333984375,105.59234619140625,81.03192138671875,135.0834503173828
2020-12-29,66.87969970703125,105.57471466064453,81.0020751953125,134.9117889404297
2020-12-30,67.01802825927734,105.64522552490234,81.15122985839844,135.2036895751953
2020-12-31,67.07177734375,105.71573638916016,81.24819946289062,135.40106201171875
2021-01-04,66.93350219726562,105.74220275878906,81.04685974121094,135.23797607421875
2021-01-05,66.95655822753906,105.49543762207031,81.09904479980469,134.2335968017578
2021-01-06,66.8336181640625,104.87847137451172,80.97969818115234,131.47804260253906
2021-01-07,67.02570343017578,104.50829315185547,81.2034683227539,130.3191680908203
2021-01-08,67.12560272216797,104.20867919921875,81.3078384399414,129.89849853515625
2021-01-11,66.76447296142578,104.00593566894531,80.86785125732422,129.68399047851562
2021-01-12,66.84898376464844,103.98835754394531,80.98717498779297,129.58091735839844
2021-01-13,67.04875183105469,104.34966278076172,81.21092224121094,131.04026794433594
2021-01-14,67.03337860107422,104.1117172241211,81.18107604980469,129.81263732910156
2021-01-15,66.92581176757812,104.39371490478516,81.06177520751953,130.3277587890625
2021-01-19,67.11790466308594,104.45542907714844,81.27801513671875,130.7483673095703
2021-01-20,67.24081420898438,104.49949645996094,81.47941589355469,130.8771514892578
2021-01-21,67.20242309570312,104.34966278076172,81.42720031738281,129.95860290527344
2021-01-22,67.07177734375,104.50829315185547,81.24819946289062,130.3792266845703
2021-01-25,67.087158203125,104.93132781982422,81.24819946289062,131.91583251953125
2021-01-26,66.98727416992188,104.89608001708984,81.2034683227539,131.6669158935547
2021-01-27,66.79524230957031,105.0195083618164,80.94988250732422,132.001708984375
2021-01-28,66.99495697021484,104.74627685546875,81.1661605834961,131.27203369140625
2021-01-29,66.81827545166016,104.56117248535156,80.84547424316406,130.4822540283203
2021-02-01,67.03263092041016,104.69171905517578,81.18533325195312,130.6334991455078
2021-02-02,67.19457244873047,104.42715454101562,81.44734191894531,129.791259765625
2021-02-03,67.24852752685547,104.17139434814453,81.5072250366211,128.63966369628906
2021-02-04,67.38734436035156,104.1361083984375,81.6344985961914,128.2958221435547
2021-02-05,67.4875717163086,103.91563415527344,81.79174041748047,127.2215805053711
2021-02-08,67.68806457519531,103.95970153808594,82.01629638671875,127.78016662597656
2021-02-09,67.56468200683594,104.03910827636719,81.85160064697266,127.87467193603516
2021-02-10,67.54930877685547,104.30368041992188,81.88899993896484,128.72560119628906
2021-02-11,67.58010864257812,104.22429656982422,81.92643737792969,128.0208282470703
2021-02-12,67.68806457519531,103.88034057617188,82.076171875,126.43091583251953
2021-02-16,67.58010864257812,103.13072204589844,81.896484375,124.50572967529297
2021-02-17,67.55699157714844,103.20127868652344,81.88899993896484,125.29645538330078
2021-02-18,67.4644775390625,103.19248962402344,81.79174041748047,124.78935241699219
2021-02-19,67.4721908569336,102.77794647216797,81.8216552734375,123.13072967529297
2021-02-22,67.26397705078125,102.61039733886719,81.55216217041016,122.19392395019531
2021-02-23,67.42591857910156,102.68981170654297,81.8216552734375,121.84154510498047
2021-02-24,67.49530029296875,102.54869079589844,81.83661651611328,121.04229736328125
2021-02-25,66.85527038574219,101.18168640136719,81.1329116821289,119.0655746459961
2021-02-26,66.65480041503906,102.090087890625,80.96824645996094,123.00176239013672
2021-03-01,67.4030990600586,101.97534942626953,81.7662124633789,121.3771743774414
2021-03-02,67.30254364013672,102.16062927246094,81.58587646484375,121.38583374023438
2021-03-03,67.0858383178711,101.6135482788086,81.44312286376953,120.06929779052734
2021-03-04,66.83045959472656,101.11058044433594,81.06741333007812,119.29491424560547
2021-03-05,67.03165435791016,100.96936798095703,81.30034637451172,119.52723693847656
2021-03-08,66.54411315917969,100.572265625,80.72930908203125,118.59791564941406
2021-03-09,66.63699340820312,101.04878997802734,80.80443572998047,120.24138641357422
2021-03-10,66.84590148925781,101.26058197021484,81.05988311767578,120.48231506347656
2021-03-11,67.09356689453125,101.22525787353516,81.34547424316406,119.61321258544922
2021-03-12,66.9078369140625,100.49287414550781,81.1575698852539,117.07489013671875
2021-03-15,66.91557312011719,100.61637878417969,81.18012237548828,117.76321411132812
2021-03-16,66.76078033447266,100.5987319946289,80.92465209960938,117.29000091552734
2021-03-17,66.8536605834961,100.43109893798828,81.02981567382812,116.41228485107422
2021-03-18,66.34296417236328,99.8045425415039,80.44377899169922,115.23347473144531
2021-03-19,66.59831237792969,99.7427749633789,80.8194580078125,115.94768524169922
2021-03-22,66.83818817138672,100.06929016113281,81.03736114501953,117.24700164794922
2021-03-23,66.9078369140625,100.56344604492188,81.08242797851562,118.30537414550781
2021-03-24,66.94654846191406,100.69577026367188,81.172607421875,118.94208526611328
2021-03-25,67.0625991821289,100.56344604492188,81.24024200439453,118.00414276123047
2021-03-26,67.2638168334961,100.2281265258789,81.53328704833984,117.5911865234375
